constituency,state,vote_share_norm,seats_won_norm,attendance_rate,bills_score,manifesto_fulfillment,criminal_cases_norm,disclosure_compliance,party,electoral_strength_score,gov_performance_score,transparency_score,party_score
Kanyakumari,Tamil Nadu,0.6096096096096096,0.5335335335335335,0.968968968968969,0.8928928928928929,0.4134134134134134,0.7207207207207207,0.7727727727727728,Party D,0.5791791791791792,0.8350350350350351,0.47667667667667674,0.6431031031031031
Viluppuram,Tamil Nadu,0.8768768768768769,0.928928928928929,0.23523523523523523,0.6716716716716716,0.6806806806806807,0.987987987987988,0.03903903903903904,Party D,0.8976976976976977,0.45525525525525523,0.022822822822822796,0.5241241241241241
Cuddalore,Tamil Nadu,0.8578578578578578,0.2932932932932933,0.6006006006006006,0.6526526526526526,0.6616616616616616,0.968968968968969,0.4044044044044044,Party D,0.632032032032032,0.6284284284284284,0.18038038038038037,0.5178578578578579
Pudukkottai,Tamil Nadu,0.8178178178178178,0.8698698698698699,0.17617617617617617,0.4034034034034034,0.6216216216216216,0.928928928928929,0.980980980980981,Party A,0.8386386386386386,0.33343343343343346,0.43503503503503504,0.5609159159159159
Sivaganga,Tamil Nadu,0.6336336336336337,0.5575575575575575,0.992992992992993,0.3003003003003003,0.30930930930930933,0.7447447447447447,0.18018018018018017,Party B,0.6032032032032032,0.6484484484484484,0.22522522522522526,0.5245445445445445
Ramanathapuram,Tamil Nadu,0.6846846846846847,0.7367367367367368,0.043043043043043044,0.4794794794794795,0.48848848848848847,0.7957957957957958,0.8478478478478478,Party A,0.7055055055055055,0.2630630630630631,0.46166166166166167,0.48968968968968973
Nagapattinam,Tamil Nadu,0.8448448448448449,0.2802802802802803,0.2032032032032032,0.6396396396396397,0.6486486486486487,0.955955955955956,0.3913913913913914,Party D,0.619019019019019,0.42322322322322325,0.182982982982983,0.4414814814814815
Kallakurichi,Tamil Nadu,0.4874874874874875,0.5395395395395396,0.8468468468468469,0.2822822822822823,0.2912912912912913,0.7267267267267268,0.6506506506506506,Party D,0.5083083083083083,0.5663663663663664,0.42422422422422423,0.5076076076076076
Tenkasi,Tamil Nadu,0.7107107107107107,0.14614614614614616,0.45345345345345345,0.5055055055055055,0.5145145145145145,0.8218218218218218,0.25725725725725723,Party B,0.4848848848848849,0.4812812812812813,0.2098098098098098,0.41485485485485485
Tirunelveli,Tamil Nadu,0.3733733733733734,0.42542542542542544,0.7327327327327328,0.16816816816816818,0.17717717717717718,0.4844844844844845,0.5365365365365365,Party D,0.3941941941941942,0.45225225225225224,0.523923923923924,0.446946946946947
Vellore,Tamil Nadu,0.6056056056056056,0.8328328328328328,0.13913913913913914,0.5755755755755756,0.4094094094094094,0.8448448448448449,0.943943943943944,Party B,0.6964964964964965,0.3241241241241241,0.47067067067067064,0.5097097097097096
Ranipet,Tamil Nadu,0.8328328328328328,0.2682682682682683,0.5755755755755756,0.6276276276276276,0.02002002002002002,0.943943943943944,0.3793793793793794,Party C,0.607007007007007,0.4800800800800801,0.18538538538538538,0.45717717717717715
Tirupathur,Tamil Nadu,0.3783783783783784,0.8148148148148148,0.7377377377377378,0.17317317317317318,0.18218218218218218,0.6176176176176176,0.9259259259259259,Party B,0.552952952952953,0.4572572572572573,0.5997997997997999,0.5311711711711713
Kancheepuram,Tamil Nadu,0.985985985985986,0.4214214214214214,0.34434434434434436,0.7807807807807807,0.7897897897897898,0.0960960960960961,0.14814814814814814,Party C,0.7601601601601602,0.5643643643643643,0.6016016016016015,0.651991991991992
Chengalpattu,Tamil Nadu,0.8908908908908909,0.9429429429429429,0.24924924924924924,0.6856856856856857,0.6946946946946947,0.001001001001001001,0.05305305305305305,Party A,0.9117117117117117,0.46926926926926926,0.6206206206206206,0.684084084084084
Burhanpur,Madhya Pradesh,0.15015015015015015,0.2022022022022022,0.5095095095095095,0.7367367367367368,0.954954954954955,0.3893893893893894,0.3133133133133133,Party D,0.17097097097097097,0.6667667667667668,0.4916916916916917,0.4246796796796797
Gondia,Maharashtra,0.23623623623623624,0.8478478478478478,0.97997997997998,0.2062062062062062,0.04004004004004004,0.34734734734734735,0.958958958958959,Party C,0.4808808808808809,0.5598598598598599,0.7751751751751752,0.5820970970970971
Bhandara,Maharashtra,0.7047047047047047,0.7567567567567568,0.06306306306306306,0.4994994994994995,0.5085085085085085,0.8158158158158159,0.8678678678678678,Party C,0.7255255255255255,0.28308308308308305,0.45765765765765765,0.5037037037037038
Jalgaon,Maharashtra,0.19019019019019018,0.6266266266266266,0.933933933933934,0.985985985985986,0.994994994994995,0.4294294294294294,0.7377377377377378,Party B,0.36476476476476477,0.9617617617617618,0.6374374374374374,0.6418818818818819
Mahasamund,Chhattisgarh,0.4844844844844845,0.5365365365365365,0.8438438438438438,0.07007007007007007,0.2882882882882883,0.7237237237237237,0.6476476476476476,Party A,0.5053053053053054,0.5006006006006006,0.42482482482482486,0.48353853853853856
Wardha,Maharashtra,0.6636636636636637,0.0990990990990991,0.022022022022022022,0.45845845845845845,0.4674674674674675,0.9029029029029029,0.8268268268268268,Party B,0.4378378378378378,0.24204204204204205,0.38898898898898904,0.3570970970970971
Buldhana,Maharashtra,0.34734734734734735,0.062062062062062065,0.8818818818818819,0.933933933933934,0.15115115115115116,0.45845845845845845,0.6856856856856857,Party D,0.23323323323323325,0.7513513513513513,0.5991991991991992,0.5060660660660661
Valsad,Gujarat,0.3133133133133133,0.7497497497497497,0.056056056056056056,0.2832832832832833,0.11711711711711711,0.4244244244244244,0.8608608608608609,Party A,0.48788788788788784,0.13643643643643644,0.6896896896896897,0.4153303303303303
Akola,Maharashtra,0.8768768768768769,0.928928928928929,0.3633633633633634,0.6716716716716716,0.6806806806806807,0.11511511511511512,0.03903903903903904,Party D,0.8976976976976977,0.5193193193193193,0.5465465465465466,0.6774774774774774
Bhadrak,Odisha,0.8748748748748749,0.9269269269269269,0.23323323323323322,0.6696696696696697,0.6786786786786787,0.11311311311311312,0.037037037037037035,Party A,0.8956956956956957,0.4532532532532533,0.5469469469469469,0.6536536536536537
Dhenkanal,Odisha,0.3763763763763764,0.42842842842842843,0.7357357357357357,0.17117117117117117,0.18018018018018017,0.6156156156156156,0.5395395395395396,Party B,0.3971971971971972,0.45525525525525523,0.4464464464464465,0.42982982982982987
Jajpur,Odisha,0.7287287287287287,0.16416416416416416,0.47147147147147145,0.6986986986986987,0.5325325325325325,0.8398398398398398,0.2752752752752753,Party A,0.5029029029029028,0.5518518518518518,0.20620620620620625,0.44586086086086085
Subarnapur,Odisha,0.7067067067067067,0.14214214214214213,0.4494494494494494,0.5015015015015015,0.5105105105105106,0.9459459459459459,0.25325325325325326,Party D,0.4808808808808809,0.4772772772772773,0.13373373373373376,0.3928328328328329
Nuapada,Odisha,0.6746746746746747,0.7267267267267268,0.03303303303303303,0.4694694694694695,0.47847847847847846,0.7857857857857858,0.8378378378378378,Party D,0.6954954954954955,0.25305305305305303,0.4636636636636636,0.48268268268268266
Balangir,Odisha,0.5665665665665666,0.002002002002002002,0.30930930930930933,0.3613613613613614,0.37037037037037035,0.6776776776776777,0.11311311311311312,Party D,0.34074074074074073,0.33713713713713717,0.23863863863863863,0.3139539539539539
Nashik,Maharashtra,0.9019019019019019,0.8258258258258259,0.2602602602602603,0.1841841841841842,0.1931931931931932,0.012012012012012012,0.06406406406406406,Party C,0.8714714714714715,0.22402402402402405,0.6184184184184185,0.5816016016016017
Boudh,Odisha,0.8948948948948949,0.8188188188188188,0.25325325325325326,0.17717717717717718,0.5705705705705706,0.005005005005005005,0.057057057057057055,Party A,0.8644644644644645,0.29389389389389386,0.6198198198198197,0.6036036036036035
Gadchiroli,Maharashtra,0.4694694694694695,0.5215215215215215,0.8288288288288288,0.26426426426426425,0.2732732732732733,0.5805805805805806,0.6326326326326326,Party D,0.4902902902902903,0.5483483483483483,0.5047047047047046,0.5142142142142142
Washim,Maharashtra,0.29429429429429427,0.7307307307307307,0.6536536536536537,0.26426426426426425,0.0980980980980981,0.40540540540540543,0.8418418418418419,Party B,0.46886886886886886,0.4257257257257257,0.6934934934934935,0.5099249249249249
Cuttack,Odisha,0.24324324324324326,0.6796796796796797,0.11411411411411411,0.03803803803803804,0.04704704704704705,0.4824824824824825,0.918918918918919,Party C,0.41781781781781785,0.07787787787787787,0.6780780780780781,0.3639039039039039
Chandrapur,Maharashtra,0.7777777777777778,0.8298298298298298,0.13613613613613615,0.5725725725725725,0.5815815815815816,0.016016016016016016,0.9409409409409409,Party A,0.7985985985985986,0.35615615615615615,0.9667667667667668,0.6857857857857859
Yavatmal,Maharashtra,0.2962962962962963,0.3483483483483483,0.6556556556556556,0.09109109109109109,0.1001001001001001,0.5355355355355356,0.4594594594594595,Party B,0.3171171171171171,0.3751751751751752,0.4624624624624624,0.37377377377377374
Kandhamal,Odisha,0.4244244244244244,0.8608608608608609,0.2952952952952953,0.21921921921921922,0.22822822822822822,0.6636636636636637,0.9719719719719719,Party D,0.598998998998999,0.25905905905905907,0.5905905905905906,0.47791791791791793
Jalna,Maharashtra,0.6536536536536537,0.5775775775775776,0.012012012012012012,0.44844844844844844,0.4574574574574575,0.7647647647647647,0.8168168168168168,Party A,0.6232232232232232,0.23203203203203204,0.46786786786786794,0.44746746746746746
Nayagarh,Odisha,0.8928928928928929,0.3283283283283283,0.6356356356356356,0.6876876876876877,0.08008008008008008,0.5155155155155156,0.4394394394394394,Party D,0.6670670670670671,0.5401401401401401,0.4664664664664664,0.5724924924924925
Uttar Bastar Kanker,Chhattisgarh,0.4894894894894895,0.5415415415415415,0.8488488488488488,0.4594594594594595,0.2932932932932933,0.7287287287287287,0.6526526526526526,Party C,0.5103103103103104,0.620920920920921,0.4238238238238238,0.5274024024024024
Khordha,Odisha,0.955955955955956,0.8798798798798799,0.6986986986986987,0.7507507507507507,0.7597597597597597,0.06606606606606606,0.5025025025025025,Party C,0.9255255255255255,0.7265265265265265,0.7613613613613615,0.8148348348348349
Kalahandi,Odisha,0.5745745745745746,0.01001001001001001,0.44544544544544545,0.36936936936936937,0.3783783783783784,0.8138138138138138,0.12112112112112113,Party D,0.3487487487487488,0.4092092092092092,0.16016016016016016,0.3227627627627628
Jagatsinghpur,Odisha,0.8948948948948949,0.8188188188188188,0.25325325325325326,0.17717717717717718,0.18618618618618618,0.005005005005005005,0.057057057057057055,Party A,0.8644644644644645,0.217017017017017,0.6198198198198197,0.5766966966966967
Puri,Odisha,0.6606606606606606,0.0960960960960961,0.4034034034034034,0.45545545545545546,0.4644644644644645,0.7717717717717718,0.2072072072072072,Party A,0.43483483483483487,0.4312312312312313,0.2198198198198198,0.3798198198198198
Ahmednagar,Maharashtra,0.011011011011011011,0.7267267267267268,0.5455455455455456,0.4694694694694695,0.6066066066066066,0.12212212212212212,0.34934934934934936,Party C,0.2972972972972973,0.5349349349349349,0.6664664664664665,0.47276276276276274
Nabarangapur,Odisha,0.963963963963964,0.015015015015015015,0.32232232232232233,0.3743743743743744,0.7677677677677678,0.6906906906906907,0.12612612612612611,Party D,0.5843843843843843,0.4270270270270271,0.23603603603603607,0.44222222222222224
Hingoli,Maharashtra,0.009009009009009009,0.06106106106106106,0.3683683683683684,0.8048048048048048,0.8138138138138138,0.12012012012012012,0.17217217217217218,Party B,0.029829829829829832,0.5883883883883884,0.5967967967967969,0.36706706706706704
Rayagada,Odisha,0.5095095095095095,0.5615615615615616,0.8688688688688688,0.09509509509509509,0.3133133133133133,0.7487487487487487,0.6726726726726727,Party C,0.5303303303303303,0.5256256256256255,0.41981981981981986,0.501056056056056
Nanded,Maharashtra,0.04504504504504504,0.0970970970970971,0.4044044044044044,0.8408408408408409,0.8498498498498499,0.15615615615615616,0.2082082082082082,Party A,0.06586586586586587,0.6244244244244244,0.5895895895895895,0.39229229229229223
Narayanpur,Chhattisgarh,0.9769769769769769,0.4124124124124124,0.7197197197197197,0.9469469469469469,0.7807807807807807,0.08708708708708708,0.5235235235235235,Party B,0.751151151151151,0.8001001001001001,0.7571571571571571,0.7697847847847847
Parbhani,Maharashtra,0.2902902902902903,0.005005005005005005,0.8248248248248248,0.7487487487487487,0.0940940940940941,0.4014014014014014,0.6286286286286287,Party B,0.17617617617617617,0.6558558558558559,0.6106106106106106,0.4526726726726727
Pune,Maharashtra,0.5055055055055055,0.8138138138138138,0.24824824824824826,0.17217217217217218,0.30930930930930933,0.6166166166166166,0.05205205205205205,Party A,0.6288288288288288,0.23763763763763765,0.25085085085085085,0.3974174174174175
Beed,Maharashtra,0.23923923923923923,0.16316316316316315,0.982982982982983,0.9069069069069069,0.9159159159159159,0.35035035035035034,0.7867867867867868,Party A,0.2088088088088088,0.9467467467467467,0.7045045045045045,0.5910110110110111
Mumbai,Maharashtra,0.8888888888888888,0.9409409409409409,0.24724724724724725,0.6836836836836837,0.6926926926926927,1.0,0.05105105105105105,Party A,0.9097097097097098,0.4672672672672673,0.020420420420420422,0.5325325325325326
Koraput,Odisha,0.07707707707707707,0.12912912912912913,0.4364364364364364,0.8728728728728729,0.8818818818818819,0.3163163163163163,0.24024024024024024,Party D,0.0978978978978979,0.6564564564564564,0.5063063063063062,0.39549549549549545
Srikakulam,Andhra Pradesh,0.3123123123123123,0.7487487487487487,0.055055055055055056,0.2822822822822823,0.11611611611611612,0.42342342342342343,0.8598598598598599,Party C,0.48688688688688686,0.13543543543543546,0.68988988988989,0.4146296296296297
Vizianagaram,Andhra Pradesh,0.8848848848848849,0.3203203203203203,0.6276276276276276,0.8548548548548549,0.6886886886886887,0.995995995995996,0.4314314314314314,Party A,0.659059059059059,0.708008008008008,0.174974974974975,0.5551701701701702
Latur,Maharashtra,0.11911911911911911,0.17117117117117117,0.47847847847847846,0.5305305305305306,0.923923923923924,0.23023023023023023,0.2822822822822823,Party D,0.13993993993993994,0.5831831831831832,0.5747747747747748,0.40378378378378377
Osmanabad,Maharashtra,0.7157157157157157,0.7677677677677678,0.07407407407407407,0.12612612612612611,0.5195195195195195,0.954954954954955,0.8788788788788788,Party D,0.7365365365365366,0.1787787787787788,0.3785785785785786,0.45183183183183184
Malkangiri,Odisha,0.93993993993994,0.24724724724724725,0.6826826826826827,0.6066066066066066,0.12712712712712712,0.05005005005005005,0.4864864864864865,Party B,0.6628628628628629,0.5487487487487488,0.7645645645645646,0.6483483483483483
Solapur,Maharashtra,0.8648648648648649,0.9169169169169169,0.22322322322322322,0.6596596596596597,0.6686686686686687,0.1031031031031031,0.02702702702702703,Party B,0.8856856856856857,0.44324324324324327,0.548948948948949,0.6466466466466467
Visakhapatnam,Andhra Pradesh,0.03303303303303303,0.34134134134134136,0.7767767767767768,0.8288288288288288,0.8378378378378378,0.14414414414414414,0.5805805805805806,Party C,0.15635635635635636,0.8046046046046047,0.7457457457457457,0.5305905905905905
Bidar,Karnataka,0.9529529529529529,0.3883883883883884,0.6956956956956957,0.7477477477477478,0.7567567567567568,0.06306306306306306,0.4994994994994995,Party C,0.7271271271271271,0.7235235235235236,0.7619619619619619,0.7345745745745746
Satara,Maharashtra,0.4364364364364364,0.7447447447447447,0.17917917917917917,0.1031031031031031,0.11211211211211211,0.5475475475475475,0.983983983983984,Party A,0.5597597597597597,0.14294294294294294,0.6650650650650651,0.4402002002002002
Ratnagiri,Maharashtra,0.32232232232232233,0.6306306306306306,0.06506506506506507,0.98998998998999,0.998998998998999,0.43343343343343343,0.8698698698698699,Party A,0.4456456456456457,0.5293293293293293,0.6878878878878879,0.5354954954954955
Kalaburagi,Karnataka,0.8178178178178178,0.8698698698698699,0.17617617617617617,0.6126126126126126,0.6216216216216216,0.928928928928929,0.980980980980981,Party C,0.8386386386386386,0.39619619619619617,0.43503503503503504,0.5828828828828828
Sangli,Maharashtra,0.7377377377377378,0.17317317317317318,0.0960960960960961,0.5325325325325325,0.5415415415415415,0.8488488488488488,0.28428428428428426,Party C,0.5119119119119119,0.3161161161161161,0.2044044044044044,0.3665065065065065
Kolhapur,Maharashtra,0.4934934934934935,0.92992992992993,0.23623623623623624,0.46346346346346345,0.2972972972972973,0.6046046046046046,0.04004004004004004,Party B,0.6680680680680681,0.3166166166166166,0.2532532532532532,0.44135635635635634
Krishna,Andhra Pradesh,0.4024024024024024,0.4544544544544545,0.7617617617617618,0.1971971971971972,0.2062062062062062,0.5135135135135135,0.5655655655655656,Party C,0.42322322322322325,0.4812812812812813,0.5181181181181181,0.4672672672672673
Belagavi,Karnataka,0.6656656656656657,0.7177177177177178,0.024024024024024024,0.07607607607607608,0.4694694694694695,0.7767767767767768,0.8288288288288288,Party A,0.6864864864864866,0.12872872872872876,0.4654654654654654,0.43601601601601603
Yadgir,Karnataka,0.19019019019019018,0.24224224224224225,0.5495495495495496,0.7767767767767768,0.994994994994995,0.4294294294294294,0.3533533533533533,Party D,0.211011011011011,0.7068068068068069,0.48368368368368364,0.45270770770770774
Bagalkote,Karnataka,0.5595595595595596,0.7867867867867868,0.09309309309309309,0.14514514514514515,0.15415415415415415,0.6706706706706707,0.8978978978978979,Party B,0.6504504504504505,0.12092092092092091,0.5567567567567568,0.4416916916916917
Sindhudurg,Maharashtra,0.5625625625625625,0.4864864864864865,0.9219219219219219,0.35735735735735735,0.3663663663663664,0.6736736736736737,0.7257257257257257,Party B,0.5321321321321322,0.6414414414414414,0.48608608608608606,0.5588788788788789
Guntur,Andhra Pradesh,0.8158158158158159,0.8678678678678678,0.3023023023023023,0.4014014014014014,0.6196196196196196,0.05405405405405406,0.978978978978979,Party A,0.8366366366366367,0.3954954954954955,0.9591591591591592,0.7128678678678679
East Godavari,Andhra Pradesh,0.5215215215215215,0.8298298298298298,0.26426426426426425,0.1881881881881882,0.1971971971971972,0.6326326326326326,0.06806806806806807,Party C,0.6448448448448448,0.22802802802802802,0.24764764764764768,0.39965965965965966
Raichur,Karnataka,0.8328328328328328,0.2682682682682683,0.7037037037037037,0.8028028028028028,0.6366366366366366,0.07107107107107107,0.3793793793793794,Party A,0.607007007007007,0.7200200200200201,0.7091091091091091,0.6720870870870871
Prakasam,Andhra Pradesh,0.5435435435435435,0.5955955955955956,0.9029029029029029,0.3383383383383383,0.34734734734734735,0.6546546546546547,0.7067067067067067,Party A,0.5643643643643643,0.6224224224224224,0.48988988988988985,0.566066066066066
Kurnool,Andhra Pradesh,0.6566566566566566,0.0920920920920921,0.3993993993993994,0.45145145145145144,0.46046046046046046,0.7677677677677678,0.2032032032032032,Party C,0.43083083083083085,0.4272272272272273,0.2206206206206206,0.37701701701701706
Koppal,Karnataka,0.7497497497497497,0.8018018018018018,0.10810810810810811,0.5445445445445446,0.5535535535535535,0.8608608608608609,0.9129129129129129,Party B,0.7705705705705705,0.32812812812812814,0.4486486486486486,0.5352352352352352
Gadag,Karnataka,0.07707707707707707,0.6886886886886887,0.6116116116116116,0.04704704704704705,0.2652652652652653,0.1881881881881882,0.7997997997997998,Party D,0.32172172172172175,0.372972972972973,0.807007007007007,0.460980980980981
North Goa,Goa,0.8538538538538538,0.9059059059059059,0.2122122122122122,0.6486486486486487,0.6576576576576577,0.964964964964965,0.016016016016016016,Party D,0.8746746746746746,0.4322322322322323,0.027427427427427417,0.508008008008008
Ballari,Karnataka,0.8878878878878879,0.93993993993994,0.24624624624624625,0.6826826826826827,0.6916916916916916,0.12612612612612611,0.05005005005005005,Party D,0.9087087087087087,0.4662662662662662,0.5443443443443443,0.6627627627627627
Dharwad,Karnataka,0.1931931931931932,0.24524524524524524,0.5525525525525525,0.6046046046046046,0.997997997997998,0.30430430430430433,0.3563563563563564,Party D,0.21401401401401401,0.6572572572572573,0.55995995995996,0.4556356356356356
Uttara Kannada,Karnataka,0.5435435435435435,0.97997997997998,0.2862862862862863,0.3383383383383383,0.34734734734734735,0.6546546546546547,0.09009009009009009,Party C,0.7181181181181181,0.3141141141141141,0.24324324324324323,0.457997997997998
South Goa,Goa,0.954954954954955,0.006006006006006006,0.3133133133133133,0.7497497497497497,0.7587587587587588,0.1931931931931932,0.11711711711711711,Party A,0.5753753753753754,0.5333333333333333,0.5309309309309309,0.5495495495495495
Haveri,Karnataka,0.7947947947947948,0.8468468468468469,0.15315315315315314,0.5895895895895896,0.5985985985985987,0.03303303303303303,0.9579579579579579,Party C,0.8156156156156156,0.3731731731731732,0.9633633633633634,0.6976976976976977
